Country,Years,visitor_numbers
New Zealand,2012,1182.54
New Zealand,2018,1407.24
New Zealand,2021,191.64
New Zealand,2022,1082.42
"UK, CIs & IOM",2012,637.98
"UK, CIs & IOM",2018,718.58
"UK, CIs & IOM",2021,133.85
"UK, CIs & IOM",2022,573.56
USA,2012,509.8
USA,2018,811.98
USA,2021,100.1
USA,2022,557.29
India,2012,171.9
India,2018,372.04
India,2021,134.47
India,2022,383.38
Singapore,2012,306.92
Singapore,2018,464.85
Singapore,2021,121.06
Singapore,2022,357.43
China,2012,689.62
China,2018,1432.89
China,2021,35.56
China,2022,241.73
Japan,2012,339.11
Japan,2018,484.3
Japan,2021,15.55
Japan,2022,173.15
"Korea, South",2012,201.45
"Korea, South",2018,280.71
"Korea, South",2021,19.31
"Korea, South",2022,169.72
Indonesia,2012,141.59
Indonesia,2018,214.84
Indonesia,2021,26.89
Indonesia,2022,164.9
Malaysia,2012,252.11
Malaysia,2018,389.35
Malaysia,2021,20.98
Malaysia,2022,143.96
